Year,Month,Mission,Country,Personnel_Type,Male,Female,Total
2015,2,UNOCI,Malawi,Experts on Mission,3,0,3
2015,2,UNOCI,Mauritania,Other,139,0,139
2015,2,UNOCI,Mauritania,Experts on Mission,2,1,3
2015,2,UNOCI,MINURSO,Individual Police,14,2,16
2015,2,UNOCI,MINURSO,Individual Police,8,0,8
2015,2,UNOCI,Morocco,Contingent Troops,715,0,715
2015,2,UNOCI,Namibia,Experts on Mission,1,1,2
2015,2,UNOCI,Nepal,Experts on Mission,3,0,3
2015,2,UNOCI,Niger,Individual Police,26,1,27
2015,2,UNOCI,Nigeria,Individual Police,3,1,4
2015,2,UNOCI,Pakistan,Other,189,0,189
2015,2,UNOCI,Paraguay,Experts on Mission,7,0,7
2015,2,UNOCI,Peru,Experts on Mission,2,0,2
2015,2,UNOCI,Philippines,Experts on Mission,1,0,1
2015,2,UNOCI,Poland,Experts on Mission,2,0,2
2015,2,UNOCI,Qatar,Experts on Mission,2,0,2
2015,2,UNOCI,Romania,Experts on Mission,6,1,7
2015,2,UNOCI,Romania,Experts on Mission,7,0,7
2015,2,UNOCI,Rwanda,Individual Police,31,15,46
2015,2,UNOCI,Serbia,Experts on Mission,3,0,3
2015,2,UNOCI,Spain,Contingent Troops,1,0,1
2015,2,UNOCI,Togo,Individual Police,22,1,23
2015,2,UNOCI,Tunisia,Individual Police,15,0,15
2015,2,UNOCI,Turkey,Individual Police,10,1,11
2015,2,UNOCI,Uganda,Experts on Mission,4,1,5
2015,2,UNOCI,Ukraine,Individual Police,12,1,13
2015,2,UNOCI,Uruguay,Experts on Mission,1,0,1
2015,2,UNOCI,Vanuatu,Individual Police,2,1,3
2015,2,UNOCI,Yemen,Individual Police,13,0,13
2015,2,UNOCI,Zambia,Experts on Mission,0,1,1
2015,2,UNTSO,Australia,Experts on Mission,9,2,11
2015,2,UNTSO,Austria,Experts on Mission,5,0,5
2015,2,UNTSO,Belgium,Experts on Mission,2,0,2
2015,2,UNTSO,Bhutan,Experts on Mission,1,0,1
2015,2,UNTSO,BINUB,Experts on Mission,11,1,12
2015,2,UNTSO,Canada,Experts on Mission,6,0,6
2015,2,UNTSO,Chile,Experts on Mission,3,0,3
2015,2,UNTSO,China,Experts on Mission,4,0,4
2015,2,UNTSO,Denmark,Experts on Mission,10,0,10
2015,2,UNTSO,Estonia,Experts on Mission,4,0,4
2015,2,UNTSO,Fiji,Experts on Mission,1,0,1
2015,2,UNTSO,Finland,Experts on Mission,17,1,18
2015,2,UNTSO,France,Experts on Mission,1,0,1
2015,2,UNTSO,Ireland,Experts on Mission,12,0,12
2015,2,UNTSO,Italy,Experts on Mission,7,0,7
2015,2,UNTSO,Nepal,Experts on Mission,4,0,4
2015,2,UNTSO,Netherlands,Experts on Mission,11,0,11
2015,2,UNTSO,Netherlands,Experts on Mission,6,2,8
2015,2,UNTSO,Norway,Experts on Mission,11,0,11
2015,2,UNTSO,Romania,Experts on Mission,4,0,4
2015,2,UNTSO,Serbia,Experts on Mission,1,0,1
2015,2,UNTSO,Slovakia,Experts on Mission,2,0,2
2015,2,UNTSO,Slovenia,Experts on Mission,2,0,2
2015,2,UNTSO,Sweden,Experts on Mission,7,0,7
2015,2,UNTSO,Ukraine,Experts on Mission,2,0,2
2015,3,MINURSO,Argentina,Individual Police,0,1,1
2015,3,MINURSO,Austria,Experts on Mission,3,0,3
2015,3,MINURSO,Bangladesh,Experts on Mission,7,0,7
2015,3,MINURSO,Brazil,Experts on Mission,8,0,8
2015,3,MINURSO,China,Experts on Mission,8,0,8
2015,3,MINURSO,Croatia,Experts on Mission,5,1,6
2015,3,MINURSO,Egypt,Individual Police,1,1,2
2015,3,MINURSO,Egypt,Experts on Mission,3,0,3
2015,3,MINURSO,France,Experts on Mission,8,0,8
2015,3,MINURSO,Germany,Experts on Mission,4,0,4
2015,3,MINURSO,Ghana,Experts on Mission,5,0,5
2015,3,MINURSO,Guinea,Experts on Mission,2,0,2
2015,3,MINURSO,Honduras,Experts on Mission,12,0,12
2015,3,MINURSO,Hungary,Experts on Mission,7,0,7
2015,3,MINURSO,India,Experts on Mission,3,0,3
2015,3,MINURSO,Indonesia,Experts on Mission,4,0,4
2015,3,MINURSO,Ireland,Experts on Mission,3,0,3
2015,3,MINURSO,Jordan,Individual Police,1,0,1
2015,3,MINURSO,Kazakhstan,Experts on Mission,3,0,3
2015,3,MINURSO,Malawi,Experts on Mission,3,0,3
2015,3,MINURSO,Malaysia,Experts on Mission,2,0,2
2015,3,MINURSO,Mongolia,Experts on Mission,3,1,4
2015,3,MINURSO,Nepal,Experts on Mission,3,0,3
2015,3,MINURSO,Nigeria,Experts on Mission,1,0,1
2015,3,MINURSO,Pakistan,Experts on Mission,13,0,13
2015,3,MINURSO,Paraguay,Experts on Mission,1,0,1
2015,3,MINURSO,Poland,Experts on Mission,1,0,1
2015,3,MINURSO,Qatar,Experts on Mission,4,0,4
2015,3,MINURSO,Romania,Experts on Mission,9,0,9
2015,3,MINURSO,Spain,Experts on Mission,3,0,3
2015,3,MINURSO,Switzerland,Experts on Mission,2,0,2
2015,3,MINURSO,Togo,Experts on Mission,1,0,1
2015,3,MINURSO,Yemen,Individual Police,2,0,2
2015,3,MINUSCA,Bangladesh,Experts on Mission,11,0,11
2015,3,MINUSCA,Benin,Individual Police,31,0,31
2015,3,MINUSCA,Bhutan,Experts on Mission,2,0,2
2015,3,MINUSCA,Bolivia,Experts on Mission,3,0,3
2015,3,MINUSCA,Brazil,Experts on Mission,3,0,3
2015,3,MINUSCA,Bulgaria,Individual Police,22,16,38
2015,3,MINUSCA,Burundi,Individual Police,4,0,4
2015,3,MINUSCA,Cambodia,Experts on Mission,6,0,6
2015,3,MINUSCA,Cameroon,Individual Police,8,1,9
2015,3,MINUSCA,Congo,Individual Police,4,0,4
2015,3,MINUSCA,Congo,Other,136,0,136
2015,3,MINUSCA,Congo,Individual Police,28,0,28
2015,3,MINUSCA,Cyprus,Experts on Mission,3,0,3
2015,3,MINUSCA,Djibouti,Individual Police,3,0,3
2015,3,MINUSCA,Djibouti,Other,107,17,124
2015,3,MINUSCA,Egypt,Experts on Mission,5,0,5
2015,3,MINUSCA,France,Individual Police,2,0,2
2015,3,MINUSCA,Gabon,Experts on Mission,3,0,3
2015,3,MINUSCA,Gambia,Experts on Mission,1,1,2
2015,3,MINUSCA,Ghana,Individual Police,2,0,2
2015,3,MINUSCA,Guatemala,Experts on Mission,2,0,2
2015,3,MINUSCA,Guinea,Individual Police,6,3,9
2015,3,MINUSCA,Hungary,Experts on Mission,2,0,2
2015,3,MINUSCA,Indonesia,Experts on Mission,6,0,6
2015,3,MINUSCA,Jordan,Individual Police,2,0,2
2015,3,MINUSCA,Kenya,Experts on Mission,5,1,6
2015,3,MINUSCA,Madagascar,Individual Police,1,0,1
2015,3,MINUSCA,Mali,Individual Police,10,0,10
2015,3,MINUSCA,Mauritania,Experts on Mission,4,0,4
2015,3,MINUSCA,Mexico,Experts on Mission,1,1,2
2015,3,MINUSCA,Morocco,Experts on Mission,2,0,2
2015,3,MINUSCA,Nepal,Experts on Mission,3,0,3
2015,3,MINUSCA,Niger,Individual Police,11,1,12
2015,3,MINUSCA,Pakistan,Experts on Mission,10,0,10
2015,3,MINUSCA,Paraguay,Experts on Mission,1,0,1
2015,3,MINUSCA,Peru,Experts on Mission,5,0,5
2015,3,MINUSCA,Romania,Individual Police,6,4,10
2015,3,MINUSCA,Rwanda,Individual Police,11,15,26
2015,3,MINUSCA,Senegal,Individual Police,16,0,16
2015,3,MINUSCA,Serbia,Experts on Mission,2,0,2
2015,3,MINUSCA,Spain,Experts on Mission,5,0,5
2015,3,MINUSCA,Thailand,Contingent Troops,1,0,1
2015,3,MINUSCA,Tunisia,Individual Police,27,2,29
2015,3,MINUSCA,Turkey,Individual Police,0,1,1
2015,3,MINUSCA,Ukraine,Contingent Troops,5,1,6
2015,3,MINUSCA,Vietnam,Contingent Troops,2,0,2
2015,3,MINUSCA,Yemen,Individual Police,2,0,2
2015,3,MINUSCA,Zambia,Experts on Mission,6,2,8
2015,3,MINUSMA,Bangladesh,Other,158,0,158
2015,3,MINUSMA,Benin,Individual Police,27,1,28
2015,3,MINUSMA,Bolivia,Contingent Troops,2,0,2
2015,3,MINUSMA,Bulgaria,Individual Police,20,2,22
2015,3,MINUSMA,Burundi,Individual Police,15,0,15
2015,3,MINUSMA,Cambodia,Contingent Troops,311,10,321
2015,3,MINUSMA,Cameroon,Individual Police,17,1,18
2015,3,MINUSMA,Canada,Contingent Troops,1,0,1
2015,3,MINUSMA,Chad,Individual Police,4,0,4
2015,3,MINUSMA,China,Contingent Troops,389,13,402
2015,3,MINUSMA,Congo,Individual Police,11,1,12
2015,3,MINUSMA,Denmark,Contingent Troops,16,1,17
2015,3,MINUSMA,Djibouti,Individual Police,1,0,1
2015,3,MINUSMA,Djibouti,Individual Police,5,1,6
2015,3,MINUSMA,Egypt,Contingent Troops,83,0,83
2015,3,MINUSMA,Egypt,Contingent Troops,10,0,10
2015,3,MINUSMA,Estonia,Contingent Troops,2,0,2
2015,3,MINUSMA,Finland,Contingent Troops,4,0,4
2015,3,MINUSMA,France,Individual Police,5,0,5
2015,3,MINUSMA,Gambia,Contingent Troops,2,0,2
2015,3,MINUSMA,Germany,Individual Police,8,0,8
2015,3,MINUSMA,Ghana,Individual Police,1,0,1
2015,3,MINUSMA,Guinea,Individual Police,4,1,5
2015,3,MINUSMA,Guinea,Contingent Troops,1,0,1
2015,3,MINUSMA,Indonesia,Contingent Troops,37,2,39
2015,3,MINUSMA,Italy,Contingent Troops,2,0,2
2015,3,MINUSMA,Jordan,Individual Police,3,0,3
2015,3,MINUSMA,Kenya,Contingent Troops,3,1,4
2015,3,MINUSMA,Liberia,Contingent Troops,42,4,46
2015,3,MINUSMA,Madagascar,Individual Police,2,0,2
2015,3,MINUSMA,Mauritania,Contingent Troops,6,0,6
2015,3,MINUSMA,Nepal,Contingent Troops,187,4,191
2015,3,MINUSMA,Netherlands,Individual Police,18,5,23
2015,3,MINUSMA,Netherlands,Contingent Troops,655,32,687
2015,3,MINUSMA,Niger,Individual Police,8,1,9
2015,3,MINUSMA,Nigeria,Individual Police,2,0,2
2015,3,MINUSMA,Norway,Contingent Troops,20,2,22
2015,3,MINUSMA,Portugal,Contingent Troops,45,4,49
2015,3,MINUSMA,Romania,Individual Police,2,0,2
2015,3,MINUSMA,Rwanda,Individual Police,1,0,1
2015,3,MINUSMA,Senegal,Individual Police,9,2,11
2015,3,MINUSMA,Serbia,Contingent Troops,4,0,4
2015,3,MINUSMA,Sweden,Individual Police,1,0,1
2015,3,MINUSMA,Switzerland,Contingent Troops,1,0,1
2015,3,MINUSMA,Togo,Individual Police,4,0,4
2015,3,MINUSMA,Tunisia,Individual Police,10,0,10
2015,3,MINUSMA,Turkey,Individual Police,4,0,4
2015,3,MINUSMA,Ukraine,Contingent Troops,2,0,2
2015,3,MINUSMA,Ukraine,Contingent Troops,18,0,18
2015,3,MINUSMA,Yemen,Individual Police,9,0,9
2015,3,MINUSTAH,Argentina,Individual Police,8,2,10
2015,3,MINUSTAH,Bangladesh,Individual Police,5,0,5
2015,3,MINUSTAH,Benin,Individual Police,43,0,43
2015,3,MINUSTAH,Bolivia,Contingent Troops,185,20,205
2015,3,MINUSTAH,Brazil,Individual Police,9,0,9
2015,3,MINUSTAH,Bulgaria,Individual Police,51,9,60
2015,3,MINUSTAH,Burundi,Individual Police,13,1,14
2015,3,MINUSTAH,Cameroon,Individual Police,4,1,5
2015,3,MINUSTAH,Canada,Individual Police,69,20,89
2015,3,MINUSTAH,Chad,Individual Police,7,0,7
2015,3,MINUSTAH,Chile,Individual Police,7,4,11
2015,3,MINUSTAH,Colombia,Individual Police,14,0,14
2015,3,MINUSTAH,Congo,Individual Police,27,3,30
2015,3,MINUSTAH,Croatia,Individual Police,1,0,1
2015,3,MINUSTAH,Ecuador,Contingent Troops,6,0,6
2015,3,MINUSTAH,Egypt,Individual Police,10,0,10
2015,3,MINUSTAH,Egypt,Individual Police,4,0,4
2015,3,MINUSTAH,Egypt,Contingent Troops,34,0,34
2015,3,MINUSTAH,France,Individual Police,15,1,16
2015,3,MINUSTAH,Grenada,Individual Police,2,0,2
2015,3,MINUSTAH,Guatemala,Contingent Troops,128,9,137
2015,3,MINUSTAH,Guinea,Individual Police,11,0,11
2015,3,MINUSTAH,Honduras,Contingent Troops,37,0,37
2015,3,MINUSTAH,India,Other,420,0,420
2015,3,MINUSTAH,Indonesia,Individual Police,6,1,7
2015,3,MINUSTAH,Jamaica,Individual Police,2,0,2
2015,3,MINUSTAH,Jordan,Individual Police,13,0,13
2015,3,MINUSTAH,Kyrgyzstan,Individual Police,1,0,1
2015,3,MINUSTAH,Madagascar,Individual Police,1,1,2
2015,3,MINUSTAH,Mali,Individual Police,28,3,31
2015,3,MINUSTAH,Mexico,Contingent Troops,2,0,2
2015,3,MINUSTAH,Nepal,Individual Police,10,1,11
2015,3,MINUSTAH,Niger,Individual Police,14,0,14
2015,3,MINUSTAH,Nigeria,Individual Police,2,1,3
2015,3,MINUSTAH,Norway,Individual Police,3,3,6
2015,3,MINUSTAH,Pakistan,Other,143,0,143
2015,3,MINUSTAH,Paraguay,Individual Police,1,0,1
2015,3,MINUSTAH,Peru,Contingent Troops,498,32,530
2015,3,MINUSTAH,Philippines,Individual Police,14,1,15
2015,3,MINUSTAH,Romania,Individual Police,31,4,35
2015,3,MINUSTAH,Romania,Individual Police,3,0,3
2015,3,MINUSTAH,Rwanda,Individual Police,0,10,10
2015,3,MINUSTAH,Senegal,Individual Police,10,0,10
2015,3,MINUSTAH,Spain,Individual Police,6,0,6
2015,3,MINUSTAH,Spain,Individual Police,5,2,7
2015,3,MINUSTAH,Tunisia,Individual Police,3,0,3
2015,3,MINUSTAH,Turkey,Individual Police,17,0,17
2015,3,MINUSTAH,Ukraine,Individual Police,27,5,32
2015,3,MINUSTAH,Uruguay,Individual Police,4,0,4
2015,3,MINUSTAH,Vanuatu,Individual Police,2,0,2
2015,3,MINUSTAH,Yemen,Individual Police,24,0,24
2015,3,MONUSCO,Bangladesh,Other,44,79,123
2015,3,MONUSCO,Belgium,Contingent Troops,2,0,2
2015,3,MONUSCO,Benin,Individual Police,30,1,31
2015,3,MONUSCO,Bolivia,Experts on Mission,8,1,9
2015,3,MONUSCO,Bolivia,Experts on Mission,5,0,5
2015,3,MONUSCO,Brazil,Experts on Mission,1,0,1
2015,3,MONUSCO,Bulgaria,Individual Police,21,19,40
2015,3,MONUSCO,Cameroon,Individual Police,15,12,27
2015,3,MONUSCO,Canada,Contingent Troops,8,0,8
2015,3,MONUSCO,Chad,Individual Police,4,2,6
2015,3,MONUSCO,China,Experts on Mission,13,0,13
2015,3,MONUSCO,Congo,Individual Police,10,3,13
2015,3,MONUSCO,Cyprus,Experts on Mission,3,0,3
2015,3,MONUSCO,Egypt,Individual Police,2,0,2
2015,3,MONUSCO,France,Individual Police,7,1,8
2015,3,MONUSCO,Ghana,Individual Police,2,0,2
2015,3,MONUSCO,Guatemala,Experts on Mission,1,0,1
2015,3,MONUSCO,Guinea,Individual Police,13,3,16
2015,3,MONUSCO,India,Other,266,4,270
2015,3,MONUSCO,Indonesia,Experts on Mission,13,0,13
2015,3,MONUSCO,Indonesia,Contingent Troops,175,0,175
2015,3,MONUSCO,Ireland,Contingent Troops,6,0,6
2015,3,MONUSCO,Jordan,Individual Police,4,0,4
2015,3,MONUSCO,Kenya,Experts on Mission,13,1,14
2015,3,MONUSCO,Madagascar,Individual Police,2,1,3
2015,3,MONUSCO,Malawi,Experts on Mission,8,1,9
2015,3,MONUSCO,Malaysia,Experts on Mission,8,1,9
2015,3,MONUSCO,Mali,Individual Police,34,5,39
2015,3,MONUSCO,Morocco,Experts on Mission,2,0,2
2015,3,MONUSCO,Nepal,Experts on Mission,8,0,8
2015,3,MONUSCO,Niger,Individual Police,26,5,31
2015,3,MONUSCO,Nigeria,Individual Police,6,0,6
2015,3,MONUSCO,Pakistan,Experts on Mission,44,0,44
2015,3,MONUSCO,Paraguay,Experts on Mission,13,0,13
2015,3,MONUSCO,Peru,Experts on Mission,8,1,9
2015,3,MONUSCO,Poland,Experts on Mission,2,0,2
2015,3,MONUSCO,Romania,Individual Police,0,1,1
2015,3,MONUSCO,Romania,Individual Police,2,0,2
2015,3,MONUSCO,Senegal,Individual Police,30,2,32
2015,3,MONUSCO,Serbia,Contingent Troops,11,3,14
2015,3,MONUSCO,Slovenia,Experts on Mission,4,1,5
2015,3,MONUSCO,Spain,Experts on Mission,4,0,4
2015,3,MONUSCO,Sweden,Individual Police,2,5,7
2015,3,MONUSCO,Switzerland,Individual Police,1,0,1
2015,3,MONUSCO,Togo,Individual Police,15,2,17
2015,3,MONUSCO,Tunisia,Individual Police,17,2,19
2015,3,MONUSCO,Turkey,Individual Police,2,0,2
2015,3,MONUSCO,Ukraine,Individual Police,2,1,3
2015,3,MONUSCO,Ukraine,Contingent Troops,5,0,5
2015,3,MONUSCO,Ukraine,Contingent Troops,1,2,3
2015,3,MONUSCO,Uruguay,Experts on Mission,15,0,15
2015,3,MONUSCO,Yemen,Individual Police,9,0,9
2015,3,MONUSCO,Zambia,Experts on Mission,12,3,15
2015,3,UNAMA,Australia,Experts on Mission,2,0,2
2015,3,UNAMA,Bolivia,Individual Police,0,1,1
2015,3,UNAMA,Cyprus,Experts on Mission,2,0,2
2015,3,UNAMA,Finland,Individual Police,1,0,1
2015,3,UNAMA,Germany,Experts on Mission,3,0,3
2015,3,UNAMA,India,Individual Police,0,1,1
2015,3,UNAMA,Lithuania,Experts on Mission,1,0,1
2015,3,UNAMA,Mongolia,Experts on Mission,1,0,1
2015,3,UNAMA,Netherlands,Individual Police,1,0,1
2015,3,UNAMA,Poland,Experts on Mission,1,0,1
2015,3,UNAMA,Portugal,Experts on Mission,1,0,1
2015,3,UNAMA,Romania,Experts on Mission,2,0,2
2015,3,UNAMA,Sweden,Experts on Mission,1,0,1
2015,3,UNAMA,Turkey,Experts on Mission,1,0,1
2015,3,UNAMI,Fiji,Contingent Troops,131,12,143
2015,3,UNAMI,India,Experts on Mission,1,0,1
2015,3,UNAMI,Nepal,Contingent Troops,73,4,77
2015,3,UNAMID,Bangladesh,Individual Police,27,2,29
2015,3,UNAMID,Bolivia,Experts on Mission,2,0,2
2015,3,UNAMID,Bulgaria,Individual Police,9,2,11
2015,3,UNAMID,Burundi,Individual Police,39,2,41
2015,3,UNAMID,Burundi,Experts on Mission,7,0,7
2015,3,UNAMID,Cambodia,Experts on Mission,1,0,1
2015,3,UNAMID,Cameroon,Individual Police,6,6,12
2015,3,UNAMID,China,Contingent Troops,231,0,231
2015,3,UNAMID,Djibouti,Other,139,0,139
2015,3,UNAMID,Ecuador,Experts on Mission,1,0,1
2015,3,UNAMID,Egypt,Individual Police,130,0,130
2015,3,UNAMID,Ethiopia,Individual Police,11,0,11
2015,3,UNAMID,Gambia,Individual Police,61,27,88
2015,3,UNAMID,Germany,Individual Police,5,0,5
2015,3,UNAMID,Ghana,Individual Police,46,95,141
2015,3,UNAMID,Indonesia,Individual Police,9,6,15
2015,3,UNAMID,Iran,Experts on Mission,2,0,2
2015,3,UNAMID,Jamaica,Individual Police,5,7,12
2015,3,UNAMID,Jordan,Individual Police,146,10,156
2015,3,UNAMID,Kenya,Experts on Mission,2,1,3
2015,3,UNAMID,Kyrgyzstan,Individual Police,5,0,5
2015,3,UNAMID,Kyrgyzstan,Experts on Mission,2,0,2
2015,3,UNAMID,Lesotho,Experts on Mission,2,0,2
2015,3,UNAMID,Madagascar,Individual Police,4,1,5
2015,3,UNAMID,Malawi,Individual Police,14,6,20
2015,3,UNAMID,Malaysia,Individual Police,14,0,14
2015,3,UNAMID,Mongolia,Contingent Troops,38,32,70
2015,3,UNAMID,Namibia,Individual Police,19,30,49
2015,3,UNAMID,Nepal,Individual Police,36,4,40
2015,3,UNAMID,Nigeria,Individual Police,103,11,114
2015,3,UNAMID,Pakistan,Other,154,0,154
2015,3,UNAMID,Peru,Experts on Mission,2,0,2
2015,3,UNAMID,Qatar,Contingent Troops,2,0,2
2015,3,UNAMID,Rwanda,Individual Police,23,50,73
2015,3,UNAMID,Samoa,Individual Police,2,0,2
2015,3,UNAMID,Senegal,Individual Police,16,0,16
2015,3,UNAMID,Serbia,Individual Police,25,41,66
2015,3,UNAMID,Slovenia,Experts on Mission,7,2,9
2015,3,UNAMID,Switzerland,Individual Police,57,17,74
2015,3,UNAMID,Thailand,Experts on Mission,3,1,4
2015,3,UNAMID,Togo,Other,133,7,140
2015,3,UNAMID,Tunisia,Individual Police,30,1,31
2015,3,UNAMID,Turkey,Individual Police,25,1,26
2015,3,UNAMID,Yemen,Individual Police,165,0,165
2015,3,UNAMID,Zambia,Individual Police,49,5,54
2015,3,UNAMID,Zimbabwe,Individual Police,4,1,5
2015,3,UNDOF,Fiji,Contingent Troops,277,22,299
2015,3,UNDOF,India,Contingent Troops,190,1,191
2015,3,UNDOF,Ireland,Contingent Troops,131,7,138
2015,3,UNDOF,Nepal,Contingent Troops,157,1,158
2015,3,UNDOF,Netherlands,Contingent Troops,2,0,2
2015,3,UNFICYP,Argentina,Contingent Troops,249,15,264
2015,3,UNFICYP,Australia,Individual Police,10,4,14
2015,3,UNFICYP,Austria,Contingent Troops,4,0,4
2015,3,UNFICYP,Bolivia,Individual Police,7,1,8
2015,3,UNFICYP,Brazil,Contingent Troops,1,0,1
2015,3,UNFICYP,Canada,Contingent Troops,1,0,1
2015,3,UNFICYP,Chile,Contingent Troops,14,0,14
2015,3,UNFICYP,China,Individual Police,2,0,2
2015,3,UNFICYP,Hungary,Contingent Troops,64,13,77
2015,3,UNFICYP,India,Individual Police,7,1,8
2015,3,UNFICYP,Ireland,Individual Police,10,2,12
2015,3,UNFICYP,Lithuania,Individual Police,1,1,2
2015,3,UNFICYP,Montenegro,Individual Police,3,1,4
2015,3,UNFICYP,Norway,Contingent Troops,2,0,2
2015,3,UNFICYP,Paraguay,Contingent Troops,13,1,14
2015,3,UNFICYP,Romania,Individual Police,2,0,2
2015,3,UNFICYP,Serbia,Individual Police,2,0,2
2015,3,UNFICYP,Slovakia,Individual Police,0,2,2
2015,3,UNFICYP,Ukraine,Individual Police,7,0,7
2015,3,UNFICYP,Ukraine,Contingent Troops,255,19,274
2015,3,UNIFIL,Armenia,Contingent Troops,33,0,33
2015,3,UNIFIL,Austria,Contingent Troops,165,7,172
2015,3,UNIFIL,Bangladesh,Contingent Troops,326,0,326
2015,3,UNIFIL,Belarus,Contingent Troops,3,2,5
2015,3,UNIFIL,Belgium,Contingent Troops,1,0,1
2015,3,UNIFIL,Brazil,Contingent Troops,267,0,267
2015,3,UNIFIL,Brunei,Contingent Troops,30,0,30
2015,3,UNIFIL,Cambodia,Contingent Troops,173,11,184
2015,3,UNIFIL,China,Contingent Troops,208,10,218
2015,3,UNIFIL,Croatia,Contingent Troops,1,0,1
2015,3,UNIFIL,Cyprus,Contingent Troops,1,0,1
2015,3,UNIFIL,Egypt,Contingent Troops,51,0,51
2015,3,UNIFIL,Fiji,Contingent Troops,146,0,146
2015,3,UNIFIL,Finland,Contingent Troops,329,14,343
2015,3,UNIFIL,France,Contingent Troops,785,52,837
2015,3,UNIFIL,Germany,Contingent Troops,127,7,134
2015,3,UNIFIL,Ghana,Contingent Troops,808,63,871
2015,3,UNIFIL,Greece,Contingent Troops,47,0,47
2015,3,UNIFIL,Guatemala,Contingent Troops,1,0,1
2015,3,UNIFIL,Hungary,Contingent Troops,4,0,4
2015,3,UNIFIL,India,Contingent Troops,887,10,897
2015,3,UNIFIL,Ireland,Contingent Troops,186,12,198
2015,3,UNIFIL,Kenya,Contingent Troops,1,0,1
2015,3,UNIFIL,Malaysia,Contingent Troops,810,14,824
2015,3,UNIFIL,Nepal,Contingent Troops,849,21,870
2015,3,UNIFIL,Nigeria,Contingent Troops,0,1,1
2015,3,UNIFIL,Qatar,Contingent Troops,3,0,3
2015,3,UNIFIL,Qatar,Contingent Troops,314,7,321
2015,3,UNIFIL,Serbia,Contingent Troops,170,7,177
2015,3,UNIFIL,Serbia,Contingent Troops,3,0,3
2015,3,UNIFIL,Slovenia,Contingent Troops,14,0,14
2015,3,UNIFIL,Spain,Contingent Troops,567,30,597
2015,3,UNIFIL,Spain,Contingent Troops,151,0,151
2015,3,UNIFIL,Switzerland,Contingent Troops,137,22,159
2015,3,UNIFIL,Thailand,Contingent Troops,1,0,1
2015,3,UNIFIL,Turkey,Contingent Troops,51,0,51
2015,3,UNISFA,Benin,Experts on Mission,2,0,2
2015,3,UNISFA,Brazil,Experts on Mission,2,0,2
2015,3,UNISFA,Burundi,Experts on Mission,1,0,1
2015,3,UNISFA,Cambodia,Experts on Mission,1,0,1
2015,3,UNISFA,Ecuador,Experts on Mission,2,0,2
2015,3,UNISFA,Ethiopia,Individual Police,6,0,6
2015,3,UNISFA,Ghana,Individual Police,3,1,4
2015,3,UNISFA,Guatemala,Experts on Mission,2,0,2
2015,3,UNISFA,Guinea,Experts on Mission,1,0,1
2015,3,UNISFA,India,Experts on Mission,2,0,2
2015,3,UNISFA,Indonesia,Experts on Mission,1,0,1
2015,3,UNISFA,Kyrgyzstan,Experts on Mission,1,0,1
2015,3,UNISFA,Malawi,Contingent Troops,1,0,1
2015,3,UNISFA,Mali,Contingent Troops,1,0,1
2015,3,UNISFA,Mongolia,Experts on Mission,1,1,2
2015,3,UNISFA,Namibia,Individual Police,4,0,4
2015,3,UNISFA,Nepal,Experts on Mission,1,0,1
2015,3,UNISFA,Nigeria,Contingent Troops,2,0,2
2015,3,UNISFA,Peru,Contingent Troops,1,0,1
2015,3,UNISFA,Romania,Experts on Mission,1,0,1
2015,3,UNISFA,Rwanda,Individual Police,1,0,1
2015,3,UNISFA,Spain,Experts on Mission,5,0,5
2015,3,UNISFA,Switzerland,Individual Police,3,2,5
2015,3,UNISFA,Ukraine,Experts on Mission,4,0,4
2015,3,UNISFA,Yemen,Experts on Mission,4,0,4
2015,3,UNISFA,Zambia,Experts on Mission,1,0,1
2015,3,UNISFA,Zimbabwe,Individual Police,5,4,9
2015,3,UNMIK,Austria,Individual Police,0,1,1
2015,3,UNMIK,Cyprus,Experts on Mission,1,1,2
2015,3,UNMIK,Germany,Individual Police,1,0,1
2015,3,UNMIK,Hungary,Individual Police,1,0,1
2015,3,UNMIK,Italy,Individual Police,1,0,1
2015,3,UNMIK,Mexico,Experts on Mission,1,0,1
2015,3,UNMIK,Poland,Experts on Mission,1,0,1
2015,3,UNMIK,Romania,Experts on Mission,1,0,1
2015,3,UNMIK,Romania,Individual Police,0,1,1
2015,3,UNMIK,Turkey,Individual Police,1,0,1
2015,3,UNMIK,Ukraine,Individual Police,1,0,1
2015,3,UNMIL,Argentina,Individual Police,6,2,8
2015,3,UNMIL,Bangladesh,Individual Police,27,0,27
2015,3,UNMIL,Benin,Experts on Mission,2,0,2
2015,3,UNMIL,Bhutan,Individual Police,5,1,6
2015,3,UNMIL,Bolivia,Experts on Mission,2,0,2
2015,3,UNMIL,Bolivia,Individual Police,8,2,10
2015,3,UNMIL,Brazil,Experts on Mission,2,0,2
2015,3,UNMIL,Bulgaria,Experts on Mission,2,0,2
2015,3,UNMIL,China,Individual Police,18,1,19
2015,3,UNMIL,Denmark,Experts on Mission,3,0,3
2015,3,UNMIL,Ecuador,Experts on Mission,2,0,2
2015,3,UNMIL,Egypt,Individual Police,5,0,5
2015,3,UNMIL,Ethiopia,Experts on Mission,10,0,10
2015,3,UNMIL,Fiji,Individual Police,6,0,6
2015,3,UNMIL,Finland,Contingent Troops,2,0,2
2015,3,UNMIL,France,Contingent Troops,1,0,1
